Lexeme	WC	Flexion
ujalussiaqa¦rpoq	V	–nngilaq
ujalussiarsi¦voq	V	–nngilaq
ujalutaki¦ppoq	V	–nngilaq
ujaluta¦q	N	–p, –t
ujalut¦aq	N	{–ap, –tap}, {–at, –tat}
ujalutarsu¦aq	N	–up, –it
ujaluusat	N, pl.	-
ujaluuteqanngilaq	V	(no generation)
ujameri¦ak	N	–ssap, –ssat
ujameria¦ppoq	V	–nngilaq
ujamerissat	N, pl.	-
ujami¦k	N	–p, –t
ujamil¦erpaa	V	–inngilaa
ujamil¦erpoq	V	–inngilaq
ujamil¦ik	N	{–iup, –lip, –lup}, –lit
ujamiliu¦ppaa	V	–tinngilaa
ujaminnanniunne¦q	N	–rup, –rit
ujaminna¦ppoq	V	–nngilaq
ujami¦ppaa	V	–nngilaa
ujami¦ppoq	V	–nngilaq
ujamissaa¦rpoq	V	–nngilaq
ujamissi¦voq	V	–nngilaq
ujamittaa¦rpoq	V	–nngilaq
ujamiut	N	–ip, –it
ujamiut	N, pl.	-
ujamiutaa¦rpoq	V	–nngilaq
ujamiutaa¦voq	V	–nngilaq
ujamm¦erpaa	V	–inngilaa
ujammi¦orpoq	V	–unngilaq
ujammisaanna¦rpoq	V	–nngilaq
ujammiu¦ppaa	V	–tinngilaa
ujammi¦voq	V	–nngilaq
ujangi¦ppoq	V	–nngilaq
ujangisima¦voq	V	–nngilaq
ujangisi¦ppaa	V	–nngilaa
ujangi¦sippaa	V	{–sinngilaa, –tinngilaa, –tsinngilaa}
uja¦ppoq	V	–nngilaq
ujaqqeraaq	V	(no generation)
ujaqqerillaqqi¦ppoq	V	–nngilaq
uja¦qqerillaqqippoq	V	{–qqerillaqqinngilaq, –ralerillaqqinngilaq}
ujaqqerisa¦rpoq	V	–nngilaq
uja¦qqerisarpoq	V	{–qqerisanngilaq, –ralerisanngilaq}
ujaqqeris¦oq	N	–up, –ut
uja¦qqerisoq	N	{–qqerisup, –ralerisup}, {–qqerisut, –ralerisut}
ujaqqerisuu¦voq	V	–nngilaq
uja¦qqerisuuvoq	V	{–qqerisuunngilaq, –ralerisuunngilaq}
uja¦qqerivik	N	{–qqeriffiup, –qqeriviup, –raleriffiup}, {–qqeriffiit, –qqeriviit, –raleriffiit}
uja¦qqerivoq	V	{–qqerinngilaq, –ralerinngilaq}
uja¦qqerpaa	V	{–qqinngilaa, –ralinngilaa}
uja¦qqerpoq	V	{–qqinngilaq, –ralinngilaq}
ujaqqers¦oorpoq	V	–uunngilaq
uja¦qqersorpaa	V	{–qqersunngilaa, –ralersunngilaa}
ujaqqersuutit	N, pl.	-
uja¦qqersuutit	N, pl.	{–qqersuutit, –qqertuutit, –ralersuutit, –ralertuutit}
uja¦qqiarpoq	V	{–qqianngilaq, –ralianngilaq}
uja¦qqiartarfik	N	{–qqiartarfiup, –raliartarfiup}, {–qqiartarfiit, –raliartarfiit}
ujaqqiort¦oq	N	–up, –ut
ujaqqissaa¦rpaa	V	–nngilaa
uja¦qqissaarpaa	V	{–qqissaanngilaa, –ralissaanngilaa}
uja¦qqiuppaa	V	{–qqiutinngilaa, –raliutinngilaa}
ujaqqiu¦serpaa	V	{–sinngilaa, –tilinngilaa}
uja¦qqiuserpaa	V	{–qqiutilinngilaa, –raliutilinngilaa}
ujaqqiu¦sersorpaa	V	{–sersunngilaa, –tilersunngilaa}
ujaqqiusers¦orpoq	V	–unngilaq
ujaqqiu¦sersorpoq	V	{–sersunngilaq, –tilersunngilaq}
ujaqqi¦usersorpoq	V	{–pusersunngilaq, –usersunngilaq}
uja¦qqiusersorpoq	V	{–qqerusersunngilaq, –qqiusersunngilaq, –ralerusersunngilaq, –raliusersunngilaq}
ujaqqiut	N	–ip, –it
ujaqqiutaa¦voq	V	–nngilaq
uja¦qqiutaavoq	V	{–qqiutaanngilaq, –raliutaanngilaq}
ujaqqiutit	N, pl.	-
ujaraaqqat	N, pl.	-
ujaraaqqia¦rpoq	V	–nngilaq
ujaraa¦raq	N	–qqap, –qqat
ujaraararta¦rpoq	V	–nngilaq
ujaraars¦erpoq	V	–inngilaq
ujaraarsersima¦voq	V	–nngilaq
ujaraasia¦q	N	–p, –t
ujaraa¦voq	V	–nngilaq
uja¦rak	N	–qqap, –qqat
ujaranngorne¦q	N	–rup, –rit
ujaranngorsimas¦oq	N	–up, –ut
ujaranngort¦oq	N	–up, –ut
ujarassa¦q	N	–p, –t
ujarassi¦ooq	N	–uup, –uut
ujarassiorfi¦k	N	–up, –it
ujarass¦iorfik	N	{–iorfiup, –aliorfiup}, {–iorfiit, –aliorfiit}
ujarassiort¦oq	N	–up, –ut
